# ID   Z    G      R      I     
  9      1.88   33.1657    32.8939    32.5613   
  9      1.9    33.192     32.9165    32.6221   
  9      1.92   33.2171    32.9385    32.6777   
  9      1.94   33.2419    32.961     32.7275   
  9      1.96   33.2675    32.9837    32.7723   
  9      1.98   33.2947    33.0061    32.8123   
  9      2.0    33.3223    33.0286    32.8486   
  9      2.02   33.3492    33.0524    32.8825   
  9      2.04   33.3752    33.0774    32.9153   
  9      2.06   33.4013    33.1024    32.9471   
  9      2.08   33.4275    33.1264    32.9775   
  9      2.1    33.4534    33.1496    33.0071   
  9      2.12   33.4787    33.173     33.0362   
  9      2.14   33.5036    33.1968    33.0659   
  9      2.16   33.5288    33.221     33.0965   
  9      2.18   33.5549    33.2454    33.1262   
  9      2.2    33.5819    33.27      33.1529   
  9      2.22   33.6094    33.2949    33.1759   
  9      2.24   33.6372    33.3199    33.1966   
  9      2.26   33.6649    33.3447    33.2161   
  9      2.28   33.6932    33.3695    33.2351   
  9      2.3    33.7226    33.394     33.2536   
  9      2.32   33.7536    33.4182    33.2718   
  9      2.34   33.7863    33.4424    33.2897   
  9      2.36   33.8207    33.4662    33.3078   
  9      2.38   33.8553    33.4892    33.3259   
  9      2.4    33.889     33.5119    33.3441   
  9      2.42   33.9208    33.5346    33.3624   
  9      2.44   33.9509    33.557     33.3804   
  9      2.46   33.9817    33.5791    33.3983   
  9      2.48   34.0116    33.6008    33.4159   
  9      2.5    34.041     33.6223    33.4336   
  9      2.52   34.07      33.6441    33.4515   
  9      2.54   34.0994    33.6662    33.4698   
  9      2.56   34.1322    33.6881    33.4884   
  9      2.58   34.1638    33.7097    33.5069   
  9      2.6    34.1966    33.7309    33.5252   
  9      2.62   34.2302    33.752     33.5434   
  9      2.64   34.2638    33.7731    33.5622   
  9      2.66   34.3013    33.7941    33.5821   
  9      2.68   34.3348    33.8144    33.6029   
  9      2.7    34.3691    33.834     33.6239   
  9      2.72   34.405     33.8528    33.6445   
  9      2.74   34.4415    33.8707    33.6639   
  9      2.76   34.4838    33.8876    33.6822   
  9      2.78   34.52      33.9041    33.6997   
  9      2.8    34.5561    33.9207    33.7169   
  9      2.82   34.5924    33.9377    33.7343   
  9      2.84   34.6288    33.9551    33.7527   
  9      2.86   34.6736    33.9729    33.7718   
  9      2.88   34.7109    33.9905    33.7912   
  9      2.9    34.7492    34.0077    33.8103   
  9      2.92   34.789     34.0245    33.829    
  9      2.94   34.8299    34.041     33.8474   
  9      2.96   34.8822    34.0574    33.8659   
  9      2.98   34.9248    34.0738    33.8843   
  9      3.0    34.9674    34.09      33.9028   
  10     0.0    -15.4244   -16.1831   -16.4872  
  10     0.02   19.1756    18.3794    18.0769   
  10     0.04   20.7657    19.9329    19.6294   
  10     0.06   21.7292    20.8638    20.5543   
  10     0.08   22.4428    21.5441    21.2204   
  10     0.1    23.0251    22.087     21.7462   
  10     0.12   23.5235    22.5385    22.1837   
  10     0.14   23.9705    22.9263    22.556    
  10     0.16   24.3766    23.2709    22.882    
  10     0.18   24.7497    23.5794    23.1693   
  10     0.2    25.0988    23.8598    23.4312   
  10     0.22   25.4166    24.1193    23.6758   
  10     0.24   25.7078    24.3598    23.902    
  10     0.26   25.978     24.5873    24.1146   
  10     0.28   26.2389    24.8054    24.3162   
  10     0.3    26.4965    25.0169    24.5094   
  10     0.32   26.7446    25.2206    24.6993   
  10     0.34   26.9915    25.4101    24.8808   
  10     0.36   27.2141    25.5869    25.0504   
  10     0.38   27.4084    25.76      25.2139   
  10     0.4    27.5891    25.9299    25.3698   
  10     0.42   27.7652    26.1059    25.5166   
  10     0.44   27.9416    26.2828    25.6557   
  10     0.46   28.1107    26.4627    25.7906   
  10     0.48   28.2832    26.6403    25.9218   
  10     0.5    28.4395    26.8165    26.0476   
  10     0.52   28.5847    26.9904    26.1711   
  10     0.54   28.735     27.1644    26.2954   
  10     0.56   28.8843    27.3351    26.4213   
  10     0.58   29.0263    27.4983    26.5483   
  10     0.6    29.1624    27.6542    26.6758   
  10     0.62   29.301     27.8016    26.7979   
  10     0.64   29.4457    27.9446    26.9147   
  10     0.66   29.5896    28.09      27.0309   
  10     0.68   29.7214    28.234     27.1461   
  10     0.7    29.8494    28.377     27.2611   
  10     0.72   29.977     28.5194    27.3815   
  10     0.74   30.1056    28.6612    27.5101   
  10     0.76   30.2301    28.7879    27.6394   
  10     0.78   30.3491    28.9018    27.7685   
  10     0.8    30.4621    29.0128    27.8981   
  10     0.82   30.5688    29.1139    28.0283   
  10     0.84   30.6726    29.2155    28.1572   
  10     0.86   30.7733    29.3165    28.282    
  10     0.88   30.8614    29.4135    28.4041   
  10     0.9    30.9394    29.515     28.5243   
  10     0.92   31.0088    29.6138    28.6438   
  10     0.94   31.0707    29.7047    28.7565   
  10     0.96   31.1333    29.7972    28.8615   
  10     0.98   31.1965    29.8966    28.9677   
  10     1.0    31.2611    29.9982    29.0781   
  10     1.02   31.3295    30.0956    29.1861   
  10     1.04   31.3975    30.1901    29.2891   
  10     1.06   31.456     30.281     29.3879   
  10     1.08   31.5082    30.3699    29.4853   
  10     1.1    31.5587    30.4611    29.5822   
  10     1.12   31.6061    30.5554    29.6741   
  10     1.14   31.6503    30.6497    29.758    
  10     1.16   31.6924    30.7403    29.8364   
  10     1.18   31.7337    30.8286    29.9105   
  10     1.2    31.7762    30.9184    29.9836   
  10     1.22   31.817     31.0088    30.06     
  10     1.24   31.8534    31.0973    30.1366   
  10     1.26   31.8867    31.1842    30.2102   
  10     1.28   31.92      31.2688    30.2839   
  10     1.3    31.9532    31.3512    30.3585   
  10     1.32   31.9862    31.433     30.4309   
  10     1.34   32.0213    31.5135    30.4994   
  10     1.36   32.0584    31.593     30.5678   
  10     1.38   32.0955    31.6729    30.6416   
  10     1.4    32.1315    31.7514    30.7205   
  10     1.42   32.1672    31.8225    30.8004   
  10     1.44   32.2033    31.8835    30.8793   
  10     1.46   32.24      31.9382    30.9564   
  10     1.48   32.2765    31.9877    31.0313   
  10     1.5    32.3127    32.0317    31.1055   
  10     1.52   32.3479    32.0739    31.1795   
  10     1.54   32.3828    32.1158    31.2522   
  10     1.56   32.4181    32.1578    31.3245   
  10     1.58   32.4542    32.1996    31.3956   
  10     1.6    32.4904    32.2443    31.4652   
  10     1.62   32.5258    32.2895    31.5347   
  10     1.64   32.5602    32.3316    31.6036   
  10     1.66   32.594     32.368     31.6714   
  10     1.68   32.6265    32.4005    31.7389   
  10     1.7    32.658     32.4318    31.8068   
  10     1.72   32.6888    32.4628    31.8755   
  10     1.74   32.7191    32.4911    31.944    
  10     1.76   32.7488    32.5165    32.0096   
  10     1.78   32.7774    32.5415    32.0716   
  10     1.8    32.8048    32.5668    32.131    
  10     1.82   32.8315    32.5922    32.1899   
  10     1.84   32.858     32.6174    32.2493   
  10     1.86   32.8849    32.642     32.3086   
  10     1.88   32.9121    32.6657    32.3671   
  10     1.9    32.9386    32.6879    32.4231   
  10     1.92   32.9638    32.7095    32.4749   
  10     1.94   32.9888    32.7315    32.522    
  10     1.96   33.0149    32.7536    32.5648   
  10     1.98   33.0424    32.7753    32.6031   
  10     2.0    33.0705    32.7971    32.638    
  10     2.02   33.0979    32.8201    32.6707   
  10     2.04   33.1245    32.8442    32.7025   
  10     2.06   33.1511    32.8683    32.7335   
  10     2.08   33.1779    32.8913    32.7632   
  10     2.1    33.2045    32.9134    32.7919   
  10     2.12   33.2305    32.9357    32.8198   
  10     2.14   33.2561    32.9583    32.848    
  10     2.16   33.282     32.9814    32.8769   
  10     2.18   33.309     33.0047    32.905    
  10     2.2    33.3369    33.0281    32.9306   
  10     2.22   33.3652    33.0519    32.9532   
  10     2.24   33.3939    33.0759    32.9735   
  10     2.26   33.4225    33.0997    32.9926   
  10     2.28   33.4517    33.1235    33.0112   
  10     2.3    33.4821    33.147     33.0293   
  10     2.32   33.514     33.1703    33.0471   
  10     2.34   33.5477    33.1937    33.0647   
  10     2.36   33.583     33.2166    33.0825   
  10     2.38   33.6186    33.239     33.1003   
  10     2.4    33.6533    33.2611    33.1181   
  10     2.42   33.6861    33.2832    33.1358   
  10     2.44   33.7172    33.3051    33.1532   
  10     2.46   33.7489    33.3267    33.1703   
  10     2.48   33.7798    33.3479    33.1872   
  10     2.5    33.8102    33.369     33.2043   
  10     2.52   33.8402    33.3904    33.2216   
  10     2.54   33.8707    33.4122    33.2393   
  10     2.56   33.9044    33.4338    33.2573   
  10     2.58   33.9371    33.455     33.2751   
  10     2.6    33.9711    33.476     33.2927   
  10     2.62   34.0059    33.4968    33.3102   
  10     2.64   34.0408    33.5178    33.3282   
  10     2.66   34.0793    33.5386    33.3472   
  10     2.68   34.114     33.5588    33.3671   
  10     2.7    34.1497    33.5784    33.3873   
  10     2.72   34.187     33.5972    33.407    
  10     2.74   34.225     33.615     33.4255   
  10     2.76   34.2685    33.632     33.4428   
  10     2.78   34.3062    33.6486    33.4594   
  10     2.8    34.3439    33.6653    33.4756   
  10     2.82   34.3817    33.6825    33.4922   
  10     2.84   34.4198    33.7001    33.5096   
  10     2.86   34.466     33.7181    33.5279   
  10     2.88   34.5052    33.736     33.5465   
  10     2.9    34.5453    33.7535    33.5647   
  10     2.92   34.587     33.7705    33.5826   
  10     2.94   34.6298    33.7874    33.6002   
  10     2.96   34.6837    33.8042    33.6179   
  10     2.98   34.7281    33.8209    33.6357   
  10     3.0    34.7727    33.8375    33.6534   
  11     0.0    -15.3936   -16.1235   -16.4212  
  11     0.02   19.2028    18.4382    18.1421   
  11     0.04   20.7894    19.9909    19.6938   
  11     0.06   21.7496    20.9207    20.618    
  11     0.08   22.4599    21.5995    21.2835   
  11     0.1    23.0387    22.1407    21.8088   
  11     0.12   23.533     22.5906    22.2455   
  11     0.14   23.9757    22.977     22.6171   
  11     0.16   24.3771    23.3201    22.9424   
  11     0.18   24.7452    23.6269    23.2293   
  11     0.2    25.089     23.9056    23.4907   
  11     0.22   25.4027    24.1632    23.7346   
  11     0.24   25.6899    24.4018    23.9601   
  11     0.26   25.9571    24.6272    24.1719   
  11     0.28   26.2154    24.8429    24.3725   
  11     0.3    26.4701    25.0518    24.5646   
  11     0.32   26.714     25.2525    24.753    
  11     0.34   26.9571    25.4391    24.9328   
  11     0.36   27.1772    25.6135    25.1009   
  11     0.38   27.3707    25.784     25.2628   
  11     0.4    27.5518    25.9512    25.4174   
  11     0.42   27.7277    26.1237    25.563    
  11     0.44   27.9016    26.2963    25.7007   
  11     0.46   28.0666    26.4716    25.8341   
  11     0.48   28.2327    26.6449    25.9639   
  11     0.5    28.3838    26.8168    26.0881   
  11     0.52   28.5248    26.9871    26.2099   
  11     0.54   28.6694    27.1575    26.3324   
  11     0.56   28.8128    27.3246    26.4561   
  11     0.58   28.9496    27.4847    26.5809   
  11     0.6    29.0808    27.6378    26.7056   
  11     0.62   29.2136    27.7828    26.8248   
  11     0.64   29.3507    27.9244    26.9389   
  11     0.66   29.4865    28.0681    27.0527   
  11     0.68   29.6118    28.2104    27.1653   
  11     0.7    29.7338    28.351     27.2772   
  11     0.72   29.8551    28.4913    27.3943   
  11     0.74   29.9768    28.6313    27.5191   
  11     0.76   30.0946    28.7564    27.6443   
  11     0.78   30.2076    28.87      27.7689   
  11     0.8    30.315     28.981     27.8944   
  11     0.82   30.4167    29.0827    28.0211   
  11     0.84   30.515     29.1839    28.1469   
  11     0.86   30.6099    29.2834    28.2693   
  11     0.88   30.6941    29.3779    28.3892   
  11     0.9    30.7699    29.4755    28.5076   
  11     0.92   30.8378    29.5702    28.6252   
  11     0.94   30.8986    29.6578    28.7365   
  11     0.96   30.9598    29.7466    28.8407   
  11     0.98   31.0214    29.8414    28.9461   
  11     1.0    31.0841    29.9379    29.055    
  11     1.02   31.1496    30.0309    29.1617   
  11     1.04   31.2146    30.1211    29.2636   
  11     1.06   31.2713    30.208     29.3612   
  11     1.08   31.3226    30.2927    29.4577   
  11     1.1    31.3724    30.379     29.5535   
  11     1.12   31.4192    30.4676    29.6443   
  11     1.14   31.4633    30.5561    29.7274   
  11     1.16   31.5054    30.6413    29.8053   
  11     1.18   31.5465    30.7245    29.8792   
  11     1.2    31.5886    30.8089    29.9519   
  11     1.22   31.6288    30.8936    30.0269   
  11     1.24   31.6648    30.9766    30.1014   
  11     1.26   31.6977    31.058     30.1723   
  11     1.28   31.7306    31.1375    30.2428   
  11     1.3    31.7634    31.2151    30.3137   
  11     1.32   31.7957    31.2923    30.3826   
  11     1.34   31.8302    31.3682    30.4482   
  11     1.36   31.8665    31.4431    30.5135   
  11     1.38   31.9028    31.518     30.5836   
  11     1.4    31.938     31.5915    30.6581   
  11     1.42   31.9728    31.6585    30.7335   
  11     1.44   32.008     31.717     30.8081   
  11     1.46   32.0439    31.7698    30.8814   
  11     1.48   32.0796    31.8178    30.9524   
  11     1.5    32.115     31.8607    31.0224   
  11     1.52   32.1495    31.9021    31.0918   
  11     1.54   32.1838    31.9431    31.1599   
  11     1.56   32.2185    31.9841    31.2277   
  11     1.58   32.254     32.0248    31.2942   
  11     1.6    32.2897    32.0676    31.3593   
  11     1.62   32.3247    32.1106    31.4244   
  11     1.64   32.3588    32.1509    31.4889   
  11     1.66   32.3922    32.1862    31.5524   
  11     1.68   32.4246    32.218     31.6156   
  11     1.7    32.4558    32.2487    31.6791   
  11     1.72   32.4864    32.279     31.7433   
  11     1.74   32.5166    32.3068    31.807    
  11     1.76   32.5461    32.3321    31.8682   
  11     1.78   32.5747    32.3571    31.9263   
  11     1.8    32.602     32.3823    31.9823   
  11     1.82   32.6286    32.4074    32.0379   
  11     1.84   32.6552    32.4322    32.0939   
  11     1.86   32.6822    32.4564    32.1497   
  11     1.88   32.7094    32.4797    32.2046   
  11     1.9    32.736     32.5016    32.2573   
  11     1.92   32.7614    32.523     32.3064   
  11     1.94   32.7865    32.5446    32.3516   
  11     1.96   32.8127    32.5664    32.393    
  11     1.98   32.8405    32.5876    32.4302   
  11     2.0    32.8689    32.6089    32.4641   
  11     2.02   32.8967    32.6314    32.4959   
  11     2.04   32.9236    32.6549    32.5271   
  11     2.06   32.9506    32.6784    32.5574   
  11     2.08   32.9778    32.7007    32.5867   
  11     2.1    33.0048    32.7222    32.6148   
  11     2.12   33.0313    32.7436    32.6419   
  11     2.14   33.0573    32.7654    32.6691   
  11     2.16   33.0838    32.7878    32.6968   
  11     2.18   33.1113    32.8103    32.7239   
  11     2.2    33.1397    32.833     32.7487   
  11     2.22   33.1687    32.8562    32.7709   
  11     2.24   33.1979    32.8794    32.791    
  11     2.26   33.2272    32.9026    32.8099   
  11     2.28   33.257     32.9257    32.8282   
  11     2.3    33.2879    32.9486    32.846    
  11     2.32   33.3205    32.9713    32.8635   
  11     2.34   33.3548    32.9941    32.8809   
  11     2.36   33.3908    33.0166    32.8985   
  11     2.38   33.4271    33.0385    32.9161   
  11     2.4    33.4624    33.0602    32.9336   
  11     2.42   33.4958    33.0819    32.9509   
  11     2.44   33.5275    33.1035    32.9678   
  11     2.46   33.5598    33.1248    32.9845   
  11     2.48   33.5914    33.1457    33.001    
  11     2.5    33.6225    33.1665    33.0176   
  11     2.52   33.6532    33.1877    33.0345   
  11     2.54   33.6844    33.2092    33.0518   
  11     2.56   33.7187    33.2306    33.0694   
  11     2.58   33.7522    33.2516    33.0868   
  11     2.6    33.787     33.2724    33.1039   
  11     2.62   33.8226    33.2931    33.1208   
  11     2.64   33.8583    33.314     33.1383   
  11     2.66   33.8976    33.3347    33.1567   
  11     2.68   33.9332    33.3548    33.1761   
  11     2.7    33.9698    33.3743    33.1958   
  11     2.72   34.008     33.3932    33.2149   
  11     2.74   34.047     33.411     33.2328   
  11     2.76   34.0913    33.4281    33.2495   
  11     2.78   34.1301    33.4447    33.2654   
  11     2.8    34.1688    33.4615    33.281    
  11     2.82   34.2077    33.4787    33.2969   
  11     2.84   34.247     33.4965    33.3137   
  11     2.86   34.2943    33.5146    33.3315   
  11     2.88   34.3347    33.5327    33.3495   
  11     2.9    34.3761    33.5504    33.3672   
  11     2.92   34.419     33.5676    33.3846   
  11     2.94   34.4632    33.5847    33.4017   
  11     2.96   34.5181    33.6017    33.4189   
  11     2.98   34.5639    33.6187    33.4362   
  11     3.0    34.6099    33.6356    33.4534   
  12     0.0    -15.3517   -16.0446   -16.3313  
  12     0.02   19.2404    18.5158    18.2307   
  12     0.04   20.8229    20.067     19.7813   
  12     0.06   21.7791    20.9951    20.7045   
  12     0.08   22.4853    21.672     21.3689   
  12     0.1    23.0599    22.211     21.8931   
  12     0.12   23.5494    22.6588    22.3286   
  12     0.14   23.9868    23.0432    22.699    
  12     0.16   24.3827    23.3842    23.0232   
  12     0.18   24.745     23.6889    23.3091   
